cz,City,State,Unique state,Employment_Rate,Rent,Annual Income
cz4702,Clarksdale, MS, MS,0.75,658.80,30728.00
cz11001,Mobile, AL, AL,0.75,835.20,36981.00
cz302,Knoxville, TN, TN,0.75,794.40,39472.00
cz12903,Danville, KY, KY,0.75,643.00,37737.00
cz5300,West Memphis, AR, AR,0.75,649.00,29994.00
cz2800,Laurel, MS, MS,0.75,613.90,35966.00
cz10700,Birmingham, AL, AL,0.75,865.60,39292.00
cz38902,Newport, OR, OR,0.74,830.70,40268.00
cz33200,Paris, TX, TX,0.74,724.20,39278.00
cz1400,Fayetteville, NC, NC,0.74,793.50,32987.00
cz10102,Thomasville, GA, GA,0.74,731.40,34428.00
cz601,North Wilkesboro, NC, NC,0.74,622.30,38565.00
cz25102,West Plains, AR & MO, AR,0.74,550.70,37898.00
cz2700,Gulfport, MS, MS,0.74,828.80,37021.00
cz38300,Los Angeles, AZ & CA, AZ,0.74,1478.00,41865.00
cz25103,Harrison, AR, AR,0.74,571.10,39816.00
cz38000,San Diego, CA, CA,0.74,1569.00,43447.00
cz34802,Santa Fe, NM, NM,0.74,915.30,41798.00
cz9302,Toccoa, GA, GA,0.74,605.00,36034.00
cz30906,Memphis, TX, TX,0.74,559.20,40731.00
cz100,Johnson City, TN & VA, TN,0.74,628.10,37588.00
cz17100,Huntington, KY & OH & WV, KY,0.74,646.30,38915.00
cz33801,Elk City, OK, OK,0.74,671.10,48070.00
cz8702,Statesboro, GA, GA,0.74,677.10,34352.00
cz36902,Roseburg, OR, OR,0.74,750.60,39807.00
cz39302,Bellingham, WA, WA,0.74,992.80,47231.00
cz2900,Hattiesburg, MS, MS,0.74,760.20,36821.00
cz6600,Rome, AL & GA, AL,0.74,709.40,35997.00
cz1201,Franklin, GA & NC, GA,0.74,689.60,39170.00
cz34001,Hot Springs, AR, AR,0.74,662.80,36915.00
cz1500,Wilmington, NC, NC,0.74,898.80,36470.00
cz30801,Hobbs, NM & TX, NM,0.74,775.20,44759.00
cz4701,Greenwood, MS, MS,0.74,571.70,30666.00
cz25800,Blytheville, AR & MO, AR,0.74,570.30,32178.00
cz5100,Corinth, MS & TN, MS,0.74,592.90,36399.00
cz4302,Searcy, AR, AR,0.74,643.00,40177.00
cz32202,Nacogdoches, TX, TX,0.74,669.20,38373.00
cz34901,Albuquerque, NM, NM,0.74,921.90,39310.00
cz35902,Price, UT, UT,0.74,681.20,49906.00
cz31103,Gonzales, TX, TX,0.74,600.10,38776.00
cz6301,McMinnville, TN, TN,0.74,595.40,36219.00
cz8502,Cordele, GA, GA,0.74,539.50,30395.00
cz3002,Yazoo City, MS, MS,0.74,639.60,28467.00
cz9400,Gainesville, GA, GA,0.74,848.70,38913.00
cz34307,Colstrip, MT, MT,0.74,553.30,41815.00
cz37901,Las Vegas, AZ & NV, AZ,0.74,1105.00,38029.00
cz30100,Fort Smith, AR & OK, AR,0.74,632.70,38815.00
cz32602,Graham, TX, TX,0.74,648.60,46862.00
cz25104,Heber Springs, AR, AR,0.74,611.20,39088.00
cz15800,Athens, OH & WV, OH,0.74,652.70,39062.00
cz15700,Scioto, OH, OH,0.74,658.10,37001.00
cz4800,Greenville, MS, MS,0.74,598.40,27719.00
cz35002,Safford, AZ, AZ,0.74,723.50,42591.00
cz31303,Kerrville, TX, TX,0.73,820.10,43128.00
cz12902,Mount Sterling, KY, KY,0.73,637.20,36281.00
cz30200,Muskogee, OK, OK,0.73,606.80,36398.00
cz6100,Gadsden, AL, AL,0.73,614.70,37778.00
cz200,Morristown, TN, TN,0.73,675.70,34941.00
cz1001,Boone, NC & TN, NC,0.73,739.90,39455.00
cz6302,Cookeville, TN, TN,0.73,595.80,38651.00
cz4402,Richmond, KY, KY,0.73,645.70,36741.00
cz3101,McComb, MS, MS,0.73,607.00,34523.00
cz37100,Bakersfield, CA, CA,0.73,1021.00,41265.00
cz25702,Poplar Bluff, MO, MO,0.73,594.50,35329.00
cz36600,Redding, CA, CA,0.73,966.80,41519.00
cz16802,Summersville, WV, WV,0.73,561.10,41453.00
cz37000,Modesto, CA, CA,0.73,1011.00,40528.00
cz16902,Spencer, WV, WV,0.73,580.80,40468.00
cz31503,Laredo, TX, TX,0.73,842.10,35015.00
cz36800,Medford, OR, OR,0.73,918.30,40481.00
cz34002,Idabel, AR & OK, AR,0.73,544.60,35908.00
cz37300,Chico, CA, CA,0.73,985.80,41403.00
cz31202,Burnet, TX, TX,0.73,835.70,40982.00
cz6402,Crossville, TN, TN,0.72,625.50,35957.00
cz3102,Brookhaven, MS, MS,0.72,726.20,38023.00
cz35500,Gallup, AZ & NM, AZ,0.72,611.10,34358.00
cz37200,Fresno, CA, CA,0.72,967.90,37188.00
cz3201,Jena, LA, LA,0.72,495.30,42959.00
cz26401,Ekalaka, MT & SD, MT,0.72,628.70,61268.00
cz1202,Sylva, NC, NC,0.72,675.10,38055.00
cz36402,Vernal, UT, UT,0.72,934.20,57035.00
cz35901,St. George, UT, UT,0.72,979.20,47657.00
cz39301,Friday Harbor, WA, WA,0.72,1002.00,45149.00
cz34501,Bonners Ferry, ID, ID,0.72,671.80,45251.00
cz37902,Reno, NV, NV,0.72,503.00,34915.00
cz10600,Jasper, AL, AL,0.72,539.20,38321.00
cz34902,Socorro, NM, NM,0.72,665.80,33847.00
cz11203,Big Stone Gap, VA, VA,0.71,577.70,38030.00
cz1204,Andrews, GA & NC, GA,0.71,687.40,37414.00
cz4401,London, KY, KY,0.71,589.80,34518.00
cz31404,Alpine, TX, TX,0.71,588.50,40930.00
cz20002,Calais, ME, ME,0.71,601.20,36028.00
cz36901,Crescent City, CA & OR, CA,0.71,824.50,38175.00
cz32303,Junction, TX, TX,0.71,585.00,33893.00
cz30604,Deming, NM, NM,0.71,652.20,34227.00
cz36000,Provo, UT, UT,0.71,1097.00,52719.00
cz30603,Truth or Consequences, NM, NM,0.71,707.00,33730.00
cz6501,Ellijay, GA, GA,0.71,743.30,35547.00
cz36700,Eureka, CA, CA,0.71,917.20,40355.00
cz26603,East Corson UT, ND & SD, ND,0.70,431.60,36914.00
cz4602,Somerset, KY & TN, KY,0.70,561.80,34214.00
cz34309,Harlowton, MT, MT,0.69,571.60,49043.00
cz27605,Mission, SD, SD,0.68,433.00,27350.00
cz301,Middlesborough, KY & TN, KY,0.68,511.30,33445.00
cz4502,Hazard, KY, KY,0.68,524.90,34479.00
cz4501,West Liberty, KY, KY,0.68,483.80,33263.00
cz38100,Yuma, AZ & CA, AZ,0.67,865.40,32545.00
cz11202,Welch, WV, WV,0.67,559.40,36724.00
cz17000,Pikeville, KY & WV, KY,0.67,572.60,37649.00
cz27602,Eagle Butte, SD, SD,0.67,510.90,28428.00
cz27604,Murdo, SD, SD,0.62,372.00,43179.00
cz34306,Jordan, MT, MT,0.57,524.00,40560.00
